               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070265,            0.029833,            0.036018,           0.0029092,             0.60255,            0.011374,           0.0026461,            0.026112,             0.02086,            0.021904,              0.0748,              0.0028,              0.0028
                   1,            0.056673,            0.026455,            0.038612,           0.0035373,             0.98824,            0.077762,            0.027933,            0.024912,            0.014871,             0.02285,            0.048677,           0.0056774,           0.0056774
                   2,            0.044313,            0.023271,            0.033935,             0.14412,             0.21491,             0.17889,            0.053854,            0.024001,            0.010783,            0.020985,            0.022532,           0.0085319,           0.0085319
                   3,            0.041829,            0.019454,            0.033224,             0.14291,             0.30245,             0.15093,            0.055768,            0.023378,           0.0080859,            0.022258,           0.0098812,           0.0098812,           0.0098812
                   4,            0.038984,            0.018214,            0.033728,             0.27235,             0.36554,             0.21151,            0.094115,            0.023926,           0.0067121,            0.021249,           0.0098812,           0.0098812,           0.0098812
                   5,            0.039065,            0.019069,             0.03456,             0.29647,             0.44897,             0.26043,             0.11302,            0.023378,           0.0070538,            0.020649,           0.0098416,           0.0098416,           0.0098416
                   6,              0.0389,            0.018592,            0.035846,              0.1717,              0.5668,             0.26129,             0.16508,            0.021337,           0.0058034,             0.02023,            0.009802,            0.009802,            0.009802
                   7,            0.036685,            0.016968,            0.032894,             0.19237,             0.62016,             0.38105,             0.21939,            0.018578,           0.0049443,            0.019537,           0.0097624,           0.0097624,           0.0097624
                   8,            0.038011,            0.016699,            0.033691,             0.26334,             0.74645,             0.45039,             0.27821,            0.018099,           0.0048014,            0.020082,           0.0097228,           0.0097228,           0.0097228
                   9,            0.030987,            0.015369,            0.033904,              0.2691,             0.72895,             0.48855,             0.18441,            0.017293,            0.003923,            0.019385,           0.0096832,           0.0096832,           0.0096832
                  10,            0.035513,            0.014494,            0.036103,             0.27156,             0.71462,              0.4904,             0.37017,            0.014789,           0.0039034,            0.019161,           0.0096436,           0.0096436,           0.0096436
                  11,            0.030119,            0.015464,            0.031358,             0.27221,             0.68724,               0.465,              0.3487,            0.014631,           0.0038294,            0.018543,            0.009604,            0.009604,            0.009604
                  12,            0.029288,            0.013353,            0.031298,             0.33887,             0.77032,             0.48714,             0.31422,            0.015556,           0.0040951,            0.019065,           0.0095644,           0.0095644,           0.0095644
                  13,            0.031439,            0.013356,            0.034759,             0.37142,             0.79214,             0.49502,              0.3257,            0.011332,           0.0041604,            0.017781,           0.0095248,           0.0095248,           0.0095248
                  14,            0.029704,             0.01375,            0.034773,              0.4087,             0.65072,             0.55173,             0.31391,             0.01526,           0.0038037,            0.017223,           0.0094852,           0.0094852,           0.0094852
                  15,            0.028247,            0.013416,            0.030352,             0.40142,              0.7308,             0.50426,             0.25941,            0.015632,           0.0034428,            0.018049,           0.0094456,           0.0094456,           0.0094456
                  16,            0.028646,            0.014562,            0.031318,             0.41747,             0.77408,             0.56223,              0.3883,            0.010838,           0.0035567,            0.017512,            0.009406,            0.009406,            0.009406
                  17,            0.028219,            0.013172,            0.032199,             0.43003,              0.6429,             0.55768,             0.30833,            0.015103,           0.0035109,            0.017016,           0.0093664,           0.0093664,           0.0093664
                  18,            0.026398,            0.013182,            0.029753,             0.46206,             0.79019,             0.59446,              0.3796,             0.01395,           0.0036014,            0.016082,           0.0093268,           0.0093268,           0.0093268
                  19,            0.027603,            0.013771,            0.032516,             0.44207,             0.71411,             0.63446,             0.43286,            0.012065,           0.0034437,            0.015253,           0.0092872,           0.0092872,           0.0092872
                  20,            0.027085,            0.013807,            0.030867,             0.43396,             0.88721,             0.59357,             0.40634,            0.010269,           0.0035085,               0.015,           0.0092476,           0.0092476,           0.0092476
                  21,            0.022881,            0.012312,            0.027983,             0.47337,             0.88834,             0.63951,             0.44654,            0.012735,           0.0037218,            0.013627,            0.009208,            0.009208,            0.009208
                  22,            0.027191,            0.012659,            0.030359,             0.45573,             0.79578,             0.60235,             0.41581,            0.012285,           0.0029877,            0.013227,           0.0091684,           0.0091684,           0.0091684
                  23,            0.027445,            0.012518,            0.031334,             0.48883,             0.72758,             0.66719,             0.42102,             0.00935,           0.0032963,             0.01261,           0.0091288,           0.0091288,           0.0091288
                  24,             0.02432,            0.013043,            0.029141,             0.56342,             0.83553,             0.71634,             0.40161,            0.012962,           0.0032031,            0.012113,           0.0090892,           0.0090892,           0.0090892
                  25,            0.025359,            0.012054,            0.029782,             0.57745,             0.85799,             0.76589,             0.50417,             0.01332,           0.0030387,            0.011279,           0.0090496,           0.0090496,           0.0090496
                  26,            0.025956,            0.011666,            0.026948,             0.59712,             0.88683,              0.7954,             0.51399,            0.012008,           0.0029089,            0.010935,             0.00901,             0.00901,             0.00901
                  27,            0.025915,            0.011076,            0.027045,             0.59966,             0.81379,             0.79123,             0.46052,            0.014188,           0.0032243,            0.010639,           0.0089704,           0.0089704,           0.0089704
                  28,            0.025556,            0.011717,            0.027111,             0.62481,             0.81867,             0.79222,             0.46296,            0.015223,           0.0031495,           0.0099229,           0.0089308,           0.0089308,           0.0089308
                  29,            0.026399,            0.011787,             0.02591,             0.74494,             0.75904,              0.8307,             0.58695,            0.011893,            0.003502,           0.0092491,           0.0088912,           0.0088912,           0.0088912
                  30,            0.024905,            0.011703,            0.027976,             0.68253,             0.80643,             0.81171,             0.58136,            0.011939,           0.0032844,            0.009015,           0.0088516,           0.0088516,           0.0088516
                  31,            0.025188,            0.011658,            0.024262,             0.69437,             0.85353,             0.83007,             0.54292,            0.013557,           0.0031385,           0.0083633,            0.008812,            0.008812,            0.008812
                  32,            0.023987,            0.011342,             0.02627,             0.74915,             0.79055,             0.87961,             0.60067,            0.012069,            0.002903,           0.0083535,           0.0087724,           0.0087724,           0.0087724
                  33,            0.026072,            0.011879,            0.027683,             0.83256,             0.80562,             0.89212,             0.57987,            0.013341,           0.0030978,           0.0076067,           0.0087328,           0.0087328,           0.0087328
                  34,            0.027437,            0.011675,            0.027076,             0.89196,             0.80331,             0.93282,             0.62819,             0.01161,           0.0031926,           0.0068086,           0.0086932,           0.0086932,           0.0086932
                  35,            0.022188,            0.011341,            0.022681,             0.93903,             0.77355,             0.91125,             0.61686,            0.013026,           0.0032526,           0.0062573,           0.0086536,           0.0086536,           0.0086536
                  36,             0.02211,            0.010768,            0.021323,             0.96954,             0.80459,             0.96101,             0.69895,            0.011365,           0.0032431,           0.0060176,            0.008614,            0.008614,            0.008614
                  37,            0.023512,            0.011846,            0.020552,             0.91574,             0.91014,             0.97052,             0.67573,           0.0095043,           0.0027335,           0.0044785,           0.0085744,           0.0085744,           0.0085744
                  38,            0.024315,            0.011938,            0.021326,             0.90898,              0.8918,             0.95732,             0.70655,            0.010991,           0.0027648,           0.0039131,           0.0085348,           0.0085348,           0.0085348
                  39,            0.023918,            0.012181,            0.020658,             0.88498,             0.92765,             0.97458,             0.67864,            0.011881,           0.0027725,           0.0041622,           0.0084952,           0.0084952,           0.0084952
                  40,             0.02122,            0.010461,            0.016945,             0.86857,             0.91305,             0.94928,             0.68996,            0.013212,           0.0028643,           0.0030305,           0.0084556,           0.0084556,           0.0084556
                  41,            0.023398,            0.011414,            0.019841,             0.86909,             0.92521,             0.94739,             0.71889,            0.009612,            0.002799,            0.003097,            0.008416,            0.008416,            0.008416
                  42,            0.024346,            0.011381,            0.017853,             0.90021,             0.91963,             0.96405,              0.7301,            0.008107,           0.0027008,           0.0036241,           0.0083764,           0.0083764,           0.0083764
                  43,            0.021409,             0.01047,            0.017594,             0.94925,             0.96411,             0.98298,              0.7129,            0.012197,           0.0026057,           0.0027021,           0.0083368,           0.0083368,           0.0083368
                  44,            0.022459,            0.011157,            0.017498,             0.92231,             0.95287,             0.98172,             0.75053,           0.0088184,           0.0028757,           0.0024556,           0.0082972,           0.0082972,           0.0082972
